Date,Device Model,Active Users
2023-01-01,OPPO A83,10
2023-01-01,Pixel 3,10
2023-01-01,Redmi Note 5 Pro,10
2023-01-01,Redmi Note 9S,10
2023-01-01,S45B,10
2023-01-01,SM-A910F,10
2023-01-01,SM-G570F,10
2023-01-01,SM-G991B,10
2023-01-01,T8,10
2023-01-01,TECNO BD4i,10
2023-01-01,TECNO LG7n,10
2023-01-01,ZT216_1,10
2023-01-01,ZenFone Max Pro M1,10
2023-01-01,iris65,10
2023-01-01,5502,9
2023-01-01,8002,9
2023-01-01,ADVAN S40,9
2023-01-01,CPH1851,9
2023-01-01,CPH1919,9
2023-01-01,Infinix X573,9
2023-01-01,Infinix-X600-LTE,9
2023-01-01,LH9910,9
2023-01-01,M5 Note,9
2023-01-01,MAXTRON Genio,9
2023-01-01,Mi 9T Pro,9
2023-01-01,Mi Note 10,9
2023-01-01,Moto C Plus,9
2023-01-01,S22 Ultra,9
2023-01-01,SH-S40P,9
2023-01-01,SM-A320Y,9
2023-01-01,SM-G980F,9
2023-01-01,SM-J200GU,9
2023-01-01,SM-J730GM,9
2023-01-01,SM-N976N,9
2023-01-01,SO-03K,9
2023-01-01,SO-05K,9
2023-01-01,TECNO KF6m,9
2023-01-01,TECNO KG5k,9
2023-01-01,TECNO KH6,9
2023-01-01,TECNO LF7n,9
2023-01-01,X1,9
2023-01-01,iris50,9
2023-01-01,itel A551L,9
2023-01-01,smart,9
2023-01-01,6004,8
2023-01-01,6801,8
2023-01-01,A33f,8
2023-01-01,ALE-L21,8
2023-01-01,ASUS_I003DD,8
2023-01-01,BGO-DL09,8
2023-01-01,Coolpad E571,8
2023-01-01,DRA-LX2,8
2023-01-01,F1fw,8
2023-01-01,GM1917,8
2023-01-01,GOME_C7_Note_Plus,8
2023-01-01,HM-N700-FL,8
2023-01-01,Infinix X608,8
2023-01-01,LE9920_P,8
2023-01-01,LG-M250,8
2023-01-01,M53,8
2023-01-01,M55,8
2023-01-01,M5c,8
2023-01-01,Mi-4c,8
2023-01-01,Nokia G20,8
2023-01-01,Note11 Pro+,8
2023-01-01,P500,8
2023-01-01,SHV42,8
2023-01-01,SM-F926B,8
2023-01-01,SM-G925I,8
2023-01-01,SM-G970F,8
2023-01-01,SM-J415GN,8
2023-01-01,SM-P585Y,8
2023-01-01,SM-P615,8
2023-01-01,SO-04J,8
2023-01-01,TECNO LG8n,8
2023-01-01,U50A MAX,8
2023-01-01,ZTE A0622,8
2023-01-01,iris702,8
2023-01-01,wt88047,8
2023-01-01,2014817,7
2023-01-01,2207117BPG,7
2023-01-01,AMN-LX2,7
2023-01-01,ASUS_Z01BDB,7
2023-01-01,ATU-L22,7
2023-01-01,CPH1835,7
2023-01-01,CPH1871,7
2023-01-01,CPH1877,7
2023-01-01,D6503,7
2023-01-01,DUB-LX2,7
2023-01-01,GIONEE S10 lite,7
2023-01-01,GT-I9152,7
2023-01-01,H8216,7
2023-01-01,HARRY,7
2023-01-01,HUAWEI TAG-L32,7
2023-01-01,Infinix X572-LTE,7
2023-01-01,Infinix X650B,7
2023-01-01,Infinix X666B,7
2023-01-01,KTB-168,7
2023-01-01,LAVA_R1,7
2023-01-01,LG-K430,7
2023-01-01,M5 Plus,7
2023-01-01,M50 STAR,7
2023-01-01,M760,7
2023-01-01,MITO_A19_1GB,7
2023-01-01,MIX,7
2023-01-01,Mi Note 3,7
2023-01-01,NX551J,7
2023-01-01,Nokia C20,7
2023-01-01,Pixel 3a,7
2023-01-01,Pixel 4,7
2023-01-01,R50B,7
2023-01-01,Rino8 Pro,7
2023-01-01,SM-G965U,7
2023-01-01,SM-J120H,7
2023-01-01,SM-S901E,7
2023-01-01,SO-02K,7
2023-01-01,SO-03L,7
2023-01-01,V2036A,7
2023-01-01,W_K600,7
2023-01-01,oppo6833,7
2023-01-01,vivo Y35,7
2023-01-01,ASUS_Z01RD,6
2023-01-01,BND-L21,6
2023-01-01,CPH1715,6
2023-01-01,CPH2121,6
2023-01-01,D6603,6
2023-01-01,E6553,6
2023-01-01,F-05J,6
2023-01-01,G8231,6
2023-01-01,GT-I9082,6
2023-01-01,Infinix HOT 4 Pro,6
2023-01-01,LG-K520,6
2023-01-01,Lenovo A2020a40,6
2023-01-01,Lenovo A6010,6
2023-01-01,Lenovo A6020a40,6
2023-01-01,MI 5s Plus,6
2023-01-01,MI 8 SE,6
2023-01-01,Nokia 4.2,6
2023-01-01,OPPO A37,6
2023-01-01,Pixel 3 XL,6
2023-01-01,Redmi Note 7 Pro,6
2023-01-01,S21 Ultra,6
2023-01-01,S6,6
2023-01-01,SC-02H,6
2023-01-01,SM-A205GN,6
2023-01-01,SM-A800F,6
2023-01-01,SM-F721B,6
2023-01-01,SM-F916B,6
2023-01-01,SM-G955N,6
2023-01-01,SM-N750,6
2023-01-01,SM-N920I,6
2023-01-01,SM-N9500,6
2023-01-01,SM-N950N,6
2023-01-01,SO-03J,6
2023-01-01,SOV33,6
2023-01-01,U PULSE,6
2023-01-01,V2134,6
2023-01-01,XT1663,6
2023-01-01,iris 870 4G,6
2023-01-01,iris88_lite,6
2023-01-01,vivo Y85A,6
